#ORIGIN#											
ORG=	0	0									
#BOARD#											
SIZ=	17000	9750						
#MOUNT#
MNT=	C5	0.1uF/0603-CAP	1	16.38	4.7	180	511	0
MNT=	C7	0.1uf/0603-CAP	1	19.05	4.83	270	511	0
MNT=	C4	0.33uF/805	2	16.26	12.45	0	511	0
MNT=	C6	0.33uF/805	2	23.5	6.48	270	511	0
MNT=	R17	0/603	3	23.5	11.3	270	501	0
MNT=	R19	0/603	3	13.97	2.29	0	501	0
MNT=	R12	1.4M/0603-RES	4	21.46	8.13	270	501	0
MNT=	C1	1.5nF/0603-CAP	5	6.86	6.99	90	511	0
MNT=	R8	100k/0603-RES	6	9.27	7.05	90	501	0
MNT=	R15	10K/0603-RES	7	-1.27	5.84	270	501	0
MNT=	R1	10M/0603-RES	8	16.38	16.13	270	501	0
MNT=	R10	10M/0603-RES	8	18.92	7.81	0	501	0
MNT=	R11	10M/0603-RES	8	19.3	12.45	0	501	0
MNT=	R13	10M/0603-RES	8	21.46	11.18	270	501	0
MNT=	R14	10M/0603-RES	8	20.57	4.83	90	501	0
MNT=	R2	10M/0603-RES	8	11.3	16.13	270	501	0
MNT=	C3	10nF/0603-CAP	9	9.27	10.29	90	511	0
MNT=	R3	180k/0603-RES	10	14.73	16.13	270	501	0
MNT=	R4	180k/0603-RES	10	13.08	16.13	270	501	0
MNT=	R16	1k/0603-RES	11	7.75	16.13	270	501	0
MNT=	R6	1M/0603-RES	12	4.83	10.29	90	501	0
MNT=	R7	1M/0603-RES	12	6.86	10.29	90	501	0
MNT=	R9	1M/0603-RES	12	9.27	4.06	90	501	0
MNT=	C2	1nF/0603-CAP	13	11.81	12.45	180	511	0
MNT=	R5	360k/0603-RES	14	9.53	16.13	90	501	0
MNT=	D1	RED/LED-0603	15	5.84	24.64	0	0	0
MNT=	U1	AD8232/LFCSP_20	16	13.59	8.64	270	0	0
MNT=	FID1	FIDUCIAL1X2/FIDUCIAL-1X2	0	20.32	27.94	270	0	0
MNT=	FID2	FIDUCIAL1X2/FIDUCIAL-1X2	0	2.54	2.54	270	0	0
#MARK#	name	com	dbNo					
MRK=	1	mark1	KAKU-1.5	51
MRK=	2	mark2	KAKU-2.5	52
#END#
