#ORIGIN#											
ORG=	0	0									
#BOARD#											
SIZ=	17000	9750						
#MOUNT#
MNT=	C6	0.1¦ÌF/0805-NO	1	36.39	16.38	0	511	0
MNT=	C8	0.1¦ÌF/0805-NO	1	36.39	12.57	0	511	0
MNT=	C10	0.1¦ÌF/0805-NO	1	26.89	24.64	180	511	0
MNT=	C11	0.1¦ÌF/0805-NO	1	26.38	10.97	0	511	0
MNT=	C13	0.1¦ÌF/0805-NO	1	36.39	19.69	0	511	0
MNT=	C15	0.1¦ÌF/0805-NO	1	36.39	23.88	0	511	0
MNT=	C22	0.47¦ÌF/0805-NO	2	13.26	20.46	0	511	0
MNT=	C23	0.47¦ÌF/0805-NO	2	13.26	18.43	0	511	0
MNT=	C7	470pF/0805-NO	3	41.59	11.68	270	511	0
MNT=	C9	470pF/0805-NO	3	41.59	15.62	90	511	0
MNT=	C16	470pF/0805-NO	3	41.59	24.64	90	511	0
MNT=	C17	470pF/0805-NO	3	41.59	20.7	270	511	0
MNT=	C5	2.2¦ÌF/0805-NO	4	18.99	12.55	270	511	0
MNT=	FB1	MPZ2012S221A/L0805	5	7.58	22.79	90	511	0
MNT=	FB2	MPZ2012S221A/L0805	5	39.56	15.62	90	511	0
MNT=	FB3	MPZ2012S221A/L0805	5	39.56	11.68	90	511	0
MNT=	FB4	MPZ2012S221A/L0805	5	39.56	20.7	270	511	0
MNT=	FB5	MPZ2012S221A/L0805	5	39.56	24.64	270	511	0
MNT=	R2	10K/0805-NO	6	24.23	9.17	0	501	0
MNT=	R10	10K/0805-NO	6	21.69	24.51	90	501	0
MNT=	R11	10K/0805-NO	6	19.65	24.51	90	501	0
MNT=	R14	10K/0805-NO	6	27.27	8.16	90	501	0
MNT=	R15	10K/0805-NO	6	26.38	3.33	180	501	0
MNT=	R1	10K/0805-NO	6	14.51	11.53	0	501	0
MNT=	R3	10K/0805-NO	6	14.32	4.19	270	501	0
MNT=	R4	10K/0805-NO	6	16.48	4.09	90	501	0
MNT=	R5	10K/0805-NO	6	18.64	4.09	90	501	0
MNT=	R12	10K/0805-NO	6	20.26	6.99	180	501	0
MNT=	R6	20K/0805-NO	7	18.22	20.24	270	501	0
MNT=	R7	20K/0805-NO	7	18.22	16.45	90	501	0
MNT=	R8	20K/0805-NO	7	16.26	20.27	270	501	0
MNT=	R9	20K/0805-NO	7	16.23	16.42	270	501	0
MNT=	D1	1N4148/SOD-323	8	21.43	4.06	90	61	0
MNT=	D2	1N4148/SOD-323	8	33.75	4.7	90	61	0
MNT=	D3	1N4148/SOD-323	8	31.97	4.7	90	61	0
MNT=	D4	1N4148/SOD-323	8	30.07	4.7	90	61	0
MNT=	Q2	BSS138/SOT23-WIDE	9	11.65	7.75	90	20	0
MNT=	Q3	BSS138/SOT23-WIDE	9	11.65	4.19	90	20	0
MNT=	Q4	BSS138/SOT23-WIDE	9	24.23	6.1	0	20	0
MNT=	U2	MIC5225-3.3/SOT23-5	10	13.32	24.05	270	21	0
#MARK#	name	com	dbNo					
MRK=	1	mark1	KAKU-1.5	1
#END#
