#ORIGIN#											
ORG=	0	0									
#BOARD#											
SIZ=	17000	9750						
#MOUNT#
MNT=	C1	0.1uF/C0805K	1	6.35	58.29	270	512	0
MNT=	C2	0.1uF/C0805K	1	15.24	58.29	270	512	0
MNT=	C3	0.1uF/C0805K	1	24.13	58.29	270	512	0
MNT=	C4	0.1uF/C0805K	1	33.02	58.29	270	512	0
MNT=	C5	0.1uF/C0805K	1	41.91	58.29	270	512	0
MNT=	C6	0.1uF/C0805K	1	50.8	58.29	270	512	0
MNT=	C7	0.1uF/C0805K	1	59.69	58.29	270	512	0
MNT=	C9	0.1uF/C0805K	1	6.35	49.4	270	512	0
MNT=	C10	0.1uF/C0805K	1	15.24	49.4	270	512	0
MNT=	C11	0.1uF/C0805K	1	24.13	49.4	270	512	0
MNT=	C12	0.1uF/C0805K	1	33.02	49.4	270	512	0
MNT=	C13	0.1uF/C0805K	1	41.91	49.4	270	512	0
MNT=	C14	0.1uF/C0805K	1	50.8	49.4	270	512	0
MNT=	C15	0.1uF/C0805K	1	59.69	49.4	270	512	0
MNT=	C17	0.1uF/C0805K	1	6.35	40.51	270	512	0
MNT=	C18	0.1uF/C0805K	1	15.24	40.51	270	512	0
MNT=	C19	0.1uF/C0805K	1	24.13	40.51	270	512	0
MNT=	C20	0.1uF/C0805K	1	33.02	40.51	270	512	0
MNT=	C21	0.1uF/C0805K	1	41.91	40.51	270	512	0
MNT=	C22	0.1uF/C0805K	1	50.8	40.51	270	512	0
MNT=	C23	0.1uF/C0805K	1	59.69	40.51	270	512	0
MNT=	C25	0.1uF/C0805K	1	6.35	31.62	270	512	0
MNT=	C26	0.1uF/C0805K	1	15.24	31.62	270	512	0
MNT=	C27	0.1uF/C0805K	1	24.13	31.62	270	512	0
MNT=	C28	0.1uF/C0805K	1	33.02	31.62	270	512	0
MNT=	C29	0.1uF/C0805K	1	41.91	31.62	270	512	0
MNT=	C30	0.1uF/C0805K	1	50.8	31.62	270	512	0
MNT=	C31	0.1uF/C0805K	1	59.69	31.62	270	512	0
MNT=	C33	0.1uF/C0805K	1	6.35	22.73	270	512	0
MNT=	C34	0.1uF/C0805K	1	15.24	22.73	270	512	0
MNT=	C35	0.1uF/C0805K	1	24.13	22.73	270	512	0
MNT=	C36	0.1uF/C0805K	1	33.02	22.73	270	512	0
MNT=	C37	0.1uF/C0805K	1	41.91	22.73	270	512	0
MNT=	C38	0.1uF/C0805K	1	50.8	22.73	270	512	0
MNT=	C39	0.1uF/C0805K	1	59.69	22.73	270	512	0
MNT=	C41	0.1uF/C0805K	1	6.35	13.84	270	512	0
MNT=	C42	0.1uF/C0805K	1	15.24	13.84	270	512	0
MNT=	C43	0.1uF/C0805K	1	24.13	13.84	270	512	0
MNT=	C44	0.1uF/C0805K	1	33.02	13.84	270	512	0
MNT=	C45	0.1uF/C0805K	1	41.91	13.84	270	512	0
MNT=	C46	0.1uF/C0805K	1	50.8	13.84	270	512	0
MNT=	C47	0.1uF/C0805K	1	59.69	13.84	270	512	0
MNT=	C49	0.1uF/C0805K	1	6.35	4.95	270	512	0
MNT=	C50	0.1uF/C0805K	1	15.24	4.95	270	512	0
MNT=	C51	0.1uF/C0805K	1	24.13	4.95	270	512	0
MNT=	C52	0.1uF/C0805K	1	33.02	4.95	270	512	0
MNT=	C53	0.1uF/C0805K	1	41.91	4.95	270	512	0
MNT=	C54	0.1uF/C0805K	1	50.8	4.95	270	512	0
MNT=	C55	0.1uF/C0805K	1	59.69	4.95	270	512	0
MNT=	C57	0.1uF/C0805K	1	6.35	-3.94	270	512	0
MNT=	C58	0.1uF/C0805K	1	15.24	-3.94	270	512	0
MNT=	C59	0.1uF/C0805K	1	24.13	-3.94	270	512	0
MNT=	C60	0.1uF/C0805K	1	33.02	-3.94	270	512	0
MNT=	C61	0.1uF/C0805K	1	41.91	-3.94	270	512	0
MNT=	C62	0.1uF/C0805K	1	50.8	-3.94	270	512	0
MNT=	C63	0.1uF/C0805K	1	59.69	-3.94	270	512	0
MNT=	FID1	FIDUCIAL_1MM	0	66.93	52.71	0	0	1
MNT=	FID3	FIDUCIAL_1MM	0	0	0	0	0	1
MNT=	LED1	WS28115050	2	1.91	57.66	0	10	0
MNT=	LED2	WS28115050	2	10.79	57.66	0	10	0
MNT=	LED3	WS28115050	2	19.69	57.66	0	10	0
MNT=	LED4	WS28115050	2	28.58	57.66	0	10	0
MNT=	LED5	WS28115050	2	37.47	57.66	0	10	0
MNT=	LED6	WS28115050	2	46.36	57.66	0	10	0
MNT=	LED7	WS28115050	2	55.25	57.66	0	10	0
MNT=	LED8	WS28115050	2	64.14	57.66	0	10	0
MNT=	LED9	WS28115050	2	1.91	48.77	0	10	0
MNT=	LED10	WS28115050	2	10.79	48.77	0	10	0
MNT=	LED11	WS28115050	2	19.69	48.77	0	10	0
MNT=	LED12	WS28115050	2	28.58	48.77	0	10	0
MNT=	LED13	WS28115050	2	37.47	48.77	0	10	0
