#ORIGIN#											
ORG=	0	0									
#BOARD#											
SIZ=	17000	9750						
#MOUNT#
MNT=	L2	33nH/_0603MP	1	19.69	36.83	270	511	0
MNT=	R1	470R/0603-NO	2	30	38.54	270	501	0
MNT=	R8	10K/0603-NO	3	5.08	21.21	90	501	0
MNT=	C5	10pF/0603-NO	4	40.4	32.78	270	511	0
MNT=	C8	10pF/0603-NO	4	14.22	33.91	180	511	0
MNT=	C1	10uF/0603-NO	5	26.29	37.08	180	511	0
MNT=	C11	10uF/0603-NO	5	12.07	38.23	270	511	0
MNT=	C9	10uF/0603-NO	5	44.96	9.27	0	511	0
MNT=	R2	1K/0603-NO	6	31.91	38.53	270	501	0
MNT=	R4	1K/0603-NO	6	44.83	12.95	180	501	0
MNT=	R5	1K/0603-NO	6	44.83	16.64	180	501	0
MNT=	R3	2K/0603-NO	7	25.78	34.16	90	501	0
MNT=	R6	2K/0603-NO	7	9.02	30.48	0	501	0
MNT=	C10	33pF/0603-NO	8	17.91	34.04	90	511	0
MNT=	C3	33pF/0603-NO	8	19.69	33.27	270	511	0
MNT=	C4	33pF/0603-NO	8	14.22	31.88	180	511	0
MNT=	C6	33pF/0603-NO	8	38.31	32.69	270	511	0
MNT=	DONE	GREEN/CHIPLED_0805_NOOUTLINE	9	31.99	42.22	0	11	0
MNT=	PWR	GREEN/CHIPLED_0805_NOOUTLINE	9	45.85	10.92	270	11	0
MNT=	CHRG	ORANGE/CHIPLED_0805_NOOUTLINE	10	30.14	42.23	180	11	0
MNT=	NET	RED/CHIPLED_0805_NOOUTLINE	11	45.85	14.99	270	11	0
MNT=	D1	MMSZ5231BT1G/SOD-123	12	42.93	33.66	270	61	0
MNT=	D3	1N4148/SOD-323	13	5.97	26.67	0	61	0
MNT=	D4	1N4148/SOD-323	13	5.21	30.48	0	61	0
MNT=	D5	1N4148/SOD-323	13	5.97	28.45	0	61	0
MNT=	D6	1N4148/SOD-323	13	5.97	24.89	0	61	0
MNT=	C2	100uF/C1210	14	44.96	5.97	90	513	0
MNT=	C7	100uF/C1210	14	33.91	33.4	180	513	0
MNT=	C15	10pF/RESPACK_4X0603	15	4.95	7.24	0	511	1
MNT=	C17	10pF/RESPACK_4X0603	15	5.59	1.52	270	511	1
MNT=	C14	33pF/RESPACK_4X0603	16	4.95	10.41	0	511	1
MNT=	C16	33pF/RESPACK_4X0603	16	9.65	1.52	270	511	1
MNT=	U2	MCP73831T-2ACI/OT/SOT23-5	15	28.96	33.66	90	21	1
MNT=	Q2	bss138/SOT23-WIDE	16	7.87	19.94	90	20	1
MNT=	D2	SMF05C/SOT363	0	9.02	7.24	90	22	1
#MARK#	name	com	dbNo					
MRK=	1	mark1	KAKU-1.5	1
#END#
