#ORIGIN#											
ORG=	26.262	6.913									
#BOARD#											
SIZ=	13100	7550						
#MOUNT#
MNT=	C1	100nF/C0402	1	33.02	40.69	0	510	0
MNT=	C2	100nF/C0402	1	43.77	36.24	315	510	0
MNT=	C3	100nF/C0402	1	48.22	25.5	270	510	0
MNT=	C4	100nF/C0402	1	43.77	14.75	225	510	0
MNT=	C5	100nF/C0402	1	33.02	10.3	180	510	0
MNT=	C6	100nF/C0402	1	22.27	14.75	135	510	0
MNT=	C7	100nF/C0402	1	17.82	25.5	90	510	0
MNT=	C8	100nF/C0402	1	22.27	36.24	45	510	0
MNT=	C9	100nF/C0402	1	33.02	49.7	0	510	0
MNT=	C10	100nF/C0402	1	45.12	46.45	330	510	0
MNT=	C11	100nF/C0402	1	53.98	37.6	300	510	0
MNT=	C12	100nF/C0402	1	57.22	25.5	270	510	0
MNT=	C13	100nF/C0402	1	53.98	13.4	240	510	0
MNT=	C14	100nF/C0402	1	45.12	4.54	210	510	0
MNT=	C15	100nF/C0402	1	33.02	1.3	180	510	0
MNT=	C16	100nF/C0402	1	20.92	4.54	150	510	0
MNT=	C17	100nF/C0402	1	12.06	13.4	120	510	0
MNT=	C18	100nF/C0402	1	8.82	25.5	90	510	0
MNT=	C19	100nF/C0402	1	12.06	37.6	60	510	0
MNT=	C20	100nF/C0402	1	20.92	46.45	30	510	0
MNT=	C21	100nF/C0402	1	33.02	58.7	0	510	0
MNT=	C22	100nF/C0402	1	45.73	56.17	338	510	0
MNT=	C23	100nF/C0402	1	56.5	48.97	315	510	0
MNT=	C24	100nF/C0402	1	63.69	38.2	292	510	0
MNT=	C25	100nF/C0402	1	66.22	25.5	270	510	0
MNT=	C26	100nF/C0402	1	63.69	12.79	248	510	0
MNT=	C27	100nF/C0402	1	56.5	2.02	225	510	0
MNT=	C28	100nF/C0402	1	45.73	-5.18	202	510	0
MNT=	C29	100nF/C0402	1	33.02	-7.7	180	510	0
MNT=	C30	100nF/C0402	1	20.31	-5.18	158	510	0
MNT=	C31	100nF/C0402	1	9.54	2.02	135	510	0
MNT=	C32	100nF/C0402	1	2.35	12.79	112	510	0
MNT=	C33	100nF/C0402	1	-0.18	25.5	90	510	0
MNT=	C34	100nF/C0402	1	2.35	38.2	68	510	0
MNT=	C35	100nF/C0402	1	9.54	48.97	45	510	0
MNT=	C36	100nF/C0402	1	20.31	56.17	22	510	0
MNT=	C37	100nF/C0402	1	33.02	67.7	0	510	0
MNT=	C38	100nF/C0402	1	43.94	66.26	345	510	0
MNT=	C39	100nF/C0402	1	54.12	62.04	330	510	0
MNT=	C40	100nF/C0402	1	62.86	55.34	315	510	0
MNT=	C41	100nF/C0402	1	69.57	46.6	300	510	0
MNT=	C42	100nF/C0402	1	73.78	36.42	285	510	0
MNT=	C43	100nF/C0402	1	75.22	25.5	270	510	0
MNT=	C44	100nF/C0402	1	73.78	14.57	255	510	0
MNT=	C45	100nF/C0402	1	69.57	4.4	240	510	0
