#ORIGIN#											
ORG=	26.262	6.913									
#BOARD#											
SIZ=	13100	7550						
#MOUNT#
MNT=	C1	100nF/C0603	1	39.29	28.91	11	511	0
MNT=	C2	100nF/C0603	1	31.09	53.72	68	511	0
MNT=	C3	100nF/C0603	1	38.09	49.68	52	511	0
MNT=	C4	100nF/C0603	1	43.81	43.96	38	511	0
MNT=	C5	100nF/C0603	1	47.86	36.95	22	511	0
MNT=	C6	100nF/C0603	1	23.14	4.98	281	511	0
MNT=	C7	100nF/C0603	1	49.95	21.05	352	511	0
MNT=	C8	100nF/C0603	1	47.86	13.24	338	511	0
MNT=	C9	100nF/C0603	1	7.8	8.09	235	511	0
MNT=	C10	100nF/C0603	1	38.09	0.51	308	511	0
MNT=	C11	100nF/C0603	1	30.66	42.04	56	511	0
MNT=	C12	100nF/C0603	1	23.27	-5.63	278	511	0
MNT=	C13	100nF/C0603	1	2.19	36.52	146	511	0
MNT=	C14	100nF/C0603	1	7.37	-3.53	248	511	0
MNT=	C15	100nF/C0603	1	24.2	33.27	45	511	0
MNT=	C16	100nF/C0603	1	-5.36	6.23	218	511	0
MNT=	C17	100nF/C0603	1	-9.4	13.24	202	511	0
MNT=	C18	100nF/C0603	1	14.51	17	240	511	0
MNT=	C19	100nF/C0603	1	-11.5	29.14	172	511	0
MNT=	C20	100nF/C0603	1	-9.4	36.95	158	511	0
MNT=	C21	100nF/C0603	1	-5.36	43.96	142	511	0
MNT=	C22	100nF/C0603	1	0.36	49.68	128	511	0
MNT=	C23	100nF/C0603	1	23.92	17.06	300	511	0
MNT=	C24	100nF/C0603	1	14.63	33.2	120	511	0
MNT=	LED1	WS2812/B5050	2	19.23	54.31	0	10	0
MNT=	LED2	WS2812/B5050	2	26.79	53.31	345	10	0
MNT=	LED3	WS2812/B5050	2	33.83	50.39	330	10	0
MNT=	LED4	WS2812/B5050	2	39.88	45.75	315	10	0
MNT=	LED5	WS2812/B5050	2	44.52	39.7	300	10	0
MNT=	LED6	WS2812/B5050	2	47.44	32.66	285	10	0
MNT=	LED7	WS2812/B5050	2	48.44	25.1	270	10	0
MNT=	LED8	WS2812/B5050	2	47.44	17.54	255	10	0
MNT=	LED9	WS2812/B5050	2	44.52	10.49	240	10	0
MNT=	LED10	WS2812/B5050	2	39.88	4.44	225	10	0
MNT=	LED11	WS2812/B5050	2	33.83	-0.2	210	10	0
MNT=	LED12	WS2812/B5050	2	26.79	-3.12	195	10	0
MNT=	LED13	WS2812/B5050	2	19.23	-4.11	180	10	0
MNT=	LED14	WS2812/B5050	2	11.67	-3.12	165	10	0
MNT=	LED15	WS2812/B5050	2	4.62	-0.2	150	10	0
MNT=	LED16	WS2812/B5050	2	-1.43	4.44	135	10	0
MNT=	LED17	WS2812/B5050	2	-6.07	10.49	120	10	0
MNT=	LED18	WS2812/B5050	2	-8.99	17.54	105	10	0
MNT=	LED19	WS2812/B5050	2	-9.98	25.1	90	10	0
MNT=	LED20	WS2812/B5050	2	-8.99	32.66	75	10	0
MNT=	LED21	WS2812/B5050	2	-6.07	39.7	60	10	0
MNT=	LED22	WS2812/B5050	2	-1.43	45.75	45	10	0
MNT=	LED23	WS2812/B5050	2	4.62	50.39	30	10	0
MNT=	LED24	WS2812/B5050	2	11.67	53.31	15	10	0
MNT=	LED25	WS2812/B5050	2	19.23	43.89	0	10	0
MNT=	LED26	WS2812/B5050	2	12.09	42.52	22	10	0
MNT=	LED27	WS2812/B5050	2	5.89	38.56	45	10	0
MNT=	LED28	WS2812/B5050	2	1.7	32.21	68	10	0
MNT=	LED29	WS2812/B5050	2	0.3	25.22	90	10	0
MNT=	LED30	WS2812/B5050	2	1.83	17.98	112	10	0
MNT=	LED31	WS2812/B5050	2	5.87	11.84	135	10	0
MNT=	LED32	WS2812/B5050	2	12.09	7.54	158	10	0
MNT=	LED33	WS2812/B5050	2	19.1	6.05	180	10	0
MNT=	LED34	WS2812/B5050	2	26.47	7.44	202	10	0
MNT=	LED35	WS2812/B5050	2	32.69	11.63	225	10	0
MNT=	LED36	WS2812/B5050	2	36.88	17.86	248	10	0
MNT=	LED37	WS2812/B5050	2	38.28	24.84	270	10	0
MNT=	LED38	WS2812/B5050	2	36.88	32.33	292	10	0
MNT=	LED39	WS2812/B5050	2	32.82	38.43	315	10	0
MNT=	LED40	WS2812/B5050	2	26.47	42.6	338	10	0
MNT=	LED41	WS2812/B5050	2	19.23	25.1	0	10	0
MNT=	LED42	WS2812/B5050	2	19.23	33.1	0	10	0
MNT=	LED43	WS2812/B5050	2	26.13	29.1	300	10	0
MNT=	LED44	WS2812/B5050	2	26.13	21.1	240	10	0
MNT=	LED45	WS2812/B5050	2	19.23	16.9	180	10	0
MNT=	LED46	WS2812/B5050	2	12.33	21.1	120	10	0
MNT=	LED47	WS2812/B5050	2	12.33	29.1	60	10	0
MNT=	R1	470/R0603	3	15.33	54.9	278	501	0
MNT=	R2	470/R0603	3	15.39	44.4	281	501	0
MNT=	R3	470/R0603	3	14.97	25.28	90	501	0

#MARK#	name	com	dbNo					
MRK=	1	mark1	KAKU-1.0	2
#END#
