	领域/图样名称	元件名称/备注	元件号码	X坐标	Y坐标	R角度	数据库号码	执行			
#MOUNT#	fid	bad	dbNo	skip	fix						
MNT=	C1	100M1234500MR	1	7874	9017	900	0	1	501	0	1
MNT=	C1	1uF/C0603	1	37.47	34.8	270	0	0	511	0	0
MNT=	C2	1uF/C0603	1	26.04	31.75	90	0	0	511	0	0
MNT=	C3	100nF/C0603	1	22.23	31.75	270	0	0	511	0	0
MNT=	C4	47uF/10v/AVX-A	3	24.13	31.75	270	0	0	550	0	0
MNT=	D4	1N4148/LL-34	5	24.13	7.62	0	0	0	0	0	0
MNT=	Q1	2n7002/SOT23	1	40.01	20.96	270	0	0	0	0	0
MNT=	Q2	2n7002/SOT23	1	40.01	24.77	270	0	0	0	0	0
MNT=	R1	10k/R0603	2	36.83	20.96	270	0	0	501	0	0
MNT=	R2	10k/R0603	1	43.18	20.96	90	0	0	501	0	0
MNT=	R3	10k/R0603	1	36.83	24.77	90	0	0	501	0	0
MNT=	R4	10k/R0603	1	43.18	24.77	270	0	0	501	0	0
MNT=	R5	1k/R0603	1	34.93	24.77	90	0	0	501	0	0
MNT=	R6	1k/R0603	1	3.05	38.35	180	0	0	501	0	0
MNT=	R7	1k/R0603	1	34.93	20.96	90	0	0	501	0	0
MNT=	R8	10k/R0603	1	24.13	9.53	180	0	0	501	0	0
MNT=	STATE	Green/LED0603	4	3.05	40.26	0	0	0	0	0	0
MNT=	T1	PESDXL2BT/SOT23	6	26.8	40.77	90	0	0	602	0	0
MNT=	U1	CJ1117-3.3/SOT223	7	31.75	31.75	90	0	0	0	0	0
