#ORIGIN#											
ORG=	0	0									
#BOARD#											
SIZ=	17000	9750						
#MOUNT#
MNT=	C1	0.1uF/C0603	1	6.72	11.3	0	511	0
MNT=	C2	0.1uF/C0603	1	-0.27	31.88	180	511	0
MNT=	C8	0.1uF/C0603	1	10.53	7.49	180	511	0
MNT=	C9	10uF/C0603	2	15.61	8.76	90	511	0
MNT=	D1	1N4148/SOD323	3	8.64	4.95	180	21	0
MNT=	D2	1N4148/SOD323	3	10.57	9.4	180	21	0
MNT=	R1	1K/R0603	4	6.72	9.4	0	501	0
MNT=	R7	1K/R0603	4	2.91	7.37	180	501	0
MNT=	R2	10k/R0603	5	6.72	7.49	180	501	0
MNT=	R8	330/R0603	6	-0.9	7.49	180	501	0
MNT=	R19	10k/R1206	7	30.85	8.76	0	0	0
MNT=	R20	10k/R1206	7	19.42	8.76	0	0	0
MNT=	TP	RED/LED-0603	8	2.91	5.59	0	50	0
MNT=	PWR	GREEN/LED-0603	9	-0.9	5.59	0	501	0
MNT=	L5	33nH/L0603	10	-4.84	31.88	180	511	0
MNT=	U7	24AA32A/SOT23-5	11	1	10.67	270	602	0
#MARK#	name	com	dbNo					
MRK=	1	mark1	KAKU-1.5	2
#END#
