#ORIGIN#											
ORG=	0	0									
#BOARD#											
SIZ=	17000	9750						
#MOUNT#
MNT=	C7	1.0uF/C0603	1	3.86	42.17	90	511	0
MNT=	C10	100nF/C0603	2	30.54	19.56	90	511	0
MNT=	C11	100nF/C0603	2	29.97	24.13	270	511	0
MNT=	C24	100nF/C0603	2	39.18	6.1	90	511	0
MNT=	C8	22pF/C0603	3	11	42.24	90	511	0
MNT=	C12	39pF/C0603	4	-5.46	33.34	270	511	0
MNT=	C16	39pF/C0603	4	-9.02	33.34	270	511	0
MNT=	C17	39pF/C0603	4	-3.94	44.96	270	511	0
MNT=	C18	39pF/C0603	4	-2.16	44.96	90	511	0
MNT=	C19	39pF/C0603	4	-2.16	41.66	90	511	0
MNT=	C13	8.2pF/C0603	5	-5.71	44.96	270	511	0
MNT=	C14	8.2pF/C0603	5	-0.38	44.96	90	511	0
MNT=	C15	8.2pF/C0603	5	-0.38	41.66	90	511	0
MNT=	D2/RI1	red/LED0603	6	-16.26	0.89	90	11	0
MNT=	D2/1PPS	red/LED0603	6	-1.84	27.37	270	11	0
MNT=	STATUS	red/LED0603	6	-12.95	0.95	270	11	0
MNT=	NET	green/LED0603	7	-9.65	1.02	270	11	0
MNT=	D2/PWR	green/LED0603	7	-5.91	0.95	270	11	0
MNT=	L2	120R/500mA/L0603	8	-3.94	41.66	270	511	0
MNT=	L3	120R/500mA/L0603	8	-7.49	44.96	90	511	0
MNT=	L4	120R/500mA/L0603	8	-12.26	33.34	90	511	0
MNT=	R11	1k/R0603	9	-18.03	0.95	270	501	0
MNT=	R4	1k/R0603	9	-1.84	23.94	90	501	0
MNT=	R7	1k/R0603	9	-14.67	0.95	270	501	0
MNT=	R5	330R/R0603	10	-7.62	0.95	270	501	0
MNT=	R6	330R/R0603	10	-11.37	0.95	270	501	0
MNT=	R3	22R/R0603	11	2.67	39.12	0	501	0
MNT=	R12	22R/R0603	11	-7.37	33.34	270	501	0
MNT=	R9	100k/R0603	12	34.86	6.16	90	501	0
MNT=	R10	3.9k/R0603	13	28.32	14.8	90	501	0
MNT=	R13	6.8k/R0603	14	29.97	14.86	90	501	0
MNT=	D1	1N4148/SOD-323F	15	25.27	41.53	180	501	0
MNT=	D5	1N4148/SOD-323F	15	25.27	44.2	180	501	0

#MARK#	name	com	dbNo					
MRK=	1	mark1	KAKU-1.5	2
#END#
