Part     X      Y   Angle Value                Package
C1     39.68  17.20   90  22pF                 0603
C2     39.68  22.40   90  22pF                 0603
C3     35.75  17.20  270  220pF                0603
C4     35.75  22.40  270  220pF                0603
C5     37.66  17.20   90  NC                   0603
C6     37.66  22.40   90  NC                   0603
C7     41.71  17.20   90  100pF                0603
C8     41.71  22.40   90  100pF                0603
C9     43.74  17.20   90  NC                   0603
C10    43.74  22.40   90  NC                   0603
C11    27.11  25.96    0  0.1¦ÌF                0603
C12    23.15  29.52  270  33pF                 0603
C13    16.80  29.52   90  33pF                 0603
C14    30.16  29.00    0  0.1¦ÌF                0603
C15    32.44  33.82  180  1000pF               0603
C16    11.87  22.40   90  0.1¦ÌF                0603
C17    22.41  13.26    0  0.1¦ÌF                0603
C18    22.79  11.23    0  10¦ÌF                 0805
C19    27.61  14.27   90  10¦ÌF                 0805
C20    22.41  15.29    0  0.1¦ÌF                0603
C21    -0.44   8.84  180  10¦ÌF                 0805
C22    18.22   6.65   90  10¦ÌF                 0805
C23    25.45  14.40   90  0.1¦ÌF                0603
C24    29.64  11.99   90  0.1¦ÌF                0603
C25    27.11  23.93    0  10¦ÌF                 0805
C26    -0.51   5.76  180  10¦ÌF                 0805
FID1   41.53   5.89  180  FIDUCIAL1X2.5        FIDUCIAL-1X2.5
FID2    7.24  38.91  180  FIDUCIAL1X2.5        FIDUCIAL-1X2.5
L1     26.73  10.72    0  FERRITE              0603
L2     30.03  25.20  270  FERRITE              0603
L3     27.62  18.85  180  560nH                0805
L4     27.62  21.39  180  560nH                0805
LED1   39.99   0.01  270  PWR                  CHIPLED_0805
R1     30.16  31.53  180  1.0K                 0603
R2     33.46  29.64  270  1.69K                0603
R3     45.77  16.30   90  1.5                  0603
R4     45.90  23.04   90  1.5                  0603
R5     49.71  15.42  270  NC                   R0201
R6     49.71  22.15   90  NC                   R0201
R7     32.99   8.01  180  10K                  0603
R8     39.99   2.01  180  TBD                  0603
TP1    33.46  16.58  180  TX1_POST             TESTPOINT_PAD_2MM
TP2    33.46  19.68  180  TGND                 TESTPOINT_PAD_2MM
TP3    33.46  22.78  180  TX2_POST             TESTPOINT_PAD_2MM
TP4    45.77  26.47  180  TX2_PRE              TESTPOINT_PAD_2MM
TP5    45.77  12.90  180  TX1_PRE              TESTPOINT_PAD_2MM
TP6    45.76  19.68  180  TGND                 TESTPOINT_PAD_2MM
TP7    33.46  26.21  180  RX                   TESTPOINT_PAD_2MM
U1     19.20  20.39  180  PN532                HVQFN40-6X6
U2      3.74   7.51    0  ADP121(3.3V)         SOT23-5
Y1     19.98  29.77  180  27.12MHz             CRYSTAL_3.2X2.5
