#ORIGIN#											
ORG=	0	0									
#BOARD#											
SIZ=	17000	9750						
#MOUNT#
MNT=	R1	100k/R0603-ROUND	1	22.86	6.99	90	501	0
MNT=	C10	100n/C0603-ROUND	1	41.66	9.4	90	501	0
MNT=	C11	100n/C0603-ROUND	1	8.26	29.46	270	501	0
MNT=	C14	100n/C0603-ROUND	1	18.54	29.46	270	501	0
MNT=	C15	100n/C0603-ROUND	1	9.91	29.46	270	501	0
MNT=	C17	100n/C0603-ROUND	1	14.22	26.77	0	501	0
MNT=	C18	100n/C0603-ROUND	1	16	12.07	270	501	0
MNT=	C21	100n/C0603-ROUND	1	8.76	43.94	270	501	0
MNT=	C22	100n/C0603-ROUND	1	8.76	47.37	90	501	0
MNT=	C24	100n/C0603-ROUND	1	6.48	12.07	270	501	0
MNT=	C25	100n/C0603-ROUND	1	20.83	19.69	0	501	0
MNT=	C26	100n/C0603-ROUND	1	20.83	13.34	0	501	0
MNT=	C3	100n/C0603-ROUND	1	13.97	6.22	270	501	0
MNT=	C6	100n/C0603-ROUND	1	24.26	41.91	0	501	0
MNT=	C7	100n/C0603-ROUND	1	39.37	6.99	270	501	0
MNT=	C8	100n/C0603-ROUND	1	55.25	36.83	0	501	0
MNT=	C9	100n/C0603-ROUND	1	36.36	27.37	180	501	0
MNT=	R5	0R/R0603	2	26.29	22.35	90	501	0
MNT=	R6	0R/R0603	2	26.29	17.37	90	501	0
MNT=	R9	0R/R0603	2	27.69	26.04	90	501	0
MNT=	RN1	10K/CAT16	3	76.96	34.29	270	501	0
MNT=	RN3	10K/CAT16	3	3.05	45.21	270	501	0
MNT=	RN6	10K/CAT16	3	21.72	24.77	0	501	0
MNT=	RN2	1k/CAY16	4	24.26	36.83	270	501	0
MNT=	RN5	1k/CAY16	4	24.26	28.96	90	501	0
MNT=	C16	1u/C0603-ROUND	5	8.38	40.77	180	511	0
MNT=	C23	1u/C0603-ROUND	5	28.24	40.13	180	511	0
MNT=	C1	22p/C0603-ROUND	6	43.18	9.4	270	511	0
MNT=	C12	22p/C0603-ROUND	6	16.89	29.46	90	511	0
MNT=	C13	22p/C0603-ROUND	6	11.56	29.46	270	511	0
MNT=	C19	22p/C0603-ROUND	6	12.83	12.07	90	511	0
MNT=	C20	22p/C0603-ROUND	6	8	12.07	90	511	0
MNT=	RN4	22R/CAY16	7	8.38	35.56	90	501	0
MNT=	RN7	22R/CAY16	7	7.37	18.41	270	501	0
MNT=	D1	CD1206-S01575/MINIMELF	8	27.94	13.72	180	513	0
MNT=	D4	CD1206-S01575/MINIMELF	8	14.22	40.39	180	513	0
MNT=	D5	CD1206-S01575/MINIMELF	8	76.96	31.37	0	513	0
MNT=	Z1	CG0603MLC-05E/CT/CN0603	9	8.38	32.77	0	501	0
MNT=	Z2	CG0603MLC-05E/CT/CN0603	9	8.38	38.35	0	501	0
MNT=	Z3	CG0603MLC-05E/CT/CN0603	9	6.86	15.75	180	501	0
MNT=	Z4	CG0603MLC-05E/CT/CN0603	9	6.86	21.08	180	501	0
MNT=	L2	MH2029-300Y/L0805	10	3.43	42.67	180	512	0
MNT=	L3	MH2029-300Y/L0805	10	14.22	25.15	180	512	0
MNT=	L	YELLOW/CHIP-LED0805	11	24.26	39.62	90	12	0
MNT=	RX	YELLOW/CHIP-LED0805	11	24.26	31.75	90	12	0
MNT=	TX	YELLOW/CHIP-LED0805	11	24.26	34.04	90	12	0
MNT=	ON	GREEN/CHIP-LED0805	12	72.52	34.29	90	12	0
MNT=	R3	10K/R0603-ROUND	13	24.64	10.54	270	501	0
MNT=	C2	10n/C0603-ROUND	14	31.24	11.81	270	511	0
MNT=	R2	52K3/R0603-ROUND	15	24.64	13.46	270	501	0
MNT=	IC5	74LVC1G125DCK/SC70-5	16	20.83	17.78	90	601	0
MNT=	IC6	74LVC1G125DCK/SC70-5	16	20.83	15.24	90	601	0
MNT=	IC8	74LVC1G125DCK/SC70-5	16	20.83	21.59	90	601	0
MNT=	IC9	74LVC1G125DCK/SC70-5	16	20.83	11.43	90	601	0
#MARK#	name	com	dbNo					
MRK=	1	mark1	KAKU-1.5	1
#END#
