#ORIGIN#											
ORG=	0	0									
#BOARD#											
SIZ=	17000	9750						
#MOUNT#
MNT=	C1	0.1uF/0603-CAP	1	44.1	20.61	270	511	0
MNT=	C5	0.1uF/0603-CAP	1	44.1	12.99	270	511	0
MNT=	C8	0.1uF/0603-CAP	1	56.8	33.31	270	511	0
MNT=	R3	10K/0603-RES	2	40.29	42.2	180	501	0
MNT=	C7	10uF/EIA3216	3	46.64	12.99	270	513	1
MNT=	R16	1k/0603-RES	4	28.86	40.93	180	501	0
MNT=	R19	1k/0603-RES	4	36.48	40.93	0	501	0
MNT=	R23	1k/0603-RES	4	51.72	33.31	0	501	0
MNT=	C2	1uF/0603-CAP	5	36.48	25.69	270	511	0
MNT=	C6	1uF/0603-CAP	5	30.13	10.45	90	511	0
MNT=	R1	22/0603-RES	6	39.02	28.23	90	501	0
MNT=	R2	22/0603-RES	6	37.75	28.23	90	501	0
MNT=	R4	22M/0603-RES	7	75.22	14.26	180	501	0
MNT=	R5	22M/0603-RES	7	75.22	16.8	180	501	0
MNT=	R6	22M/0603-RES	7	75.22	19.34	180	501	0
MNT=	R7	22M/0603-RES	7	75.22	21.88	180	501	0
MNT=	R8	22M/0603-RES	7	75.22	32.04	180	501	0
MNT=	R9	22M/0603-RES	7	75.22	34.58	180	501	0
MNT=	R10	22M/0603-RES	7	4.73	15.53	0	501	1
MNT=	R11	22M/0603-RES	7	4.73	18.07	0	501	1
MNT=	R12	22M/0603-RES	7	4.73	20.61	0	501	1
MNT=	R13	22M/0603-RES	7	4.73	23.15	0	501	1
MNT=	R14	22M/0603-RES	7	4.73	25.69	0	501	1
MNT=	R15	22M/0603-RES	7	4.73	28.23	0	501	1
MNT=	R24	22M/0603-RES	7	61.88	26.96	180	501	0
MNT=	R25	22M/0603-RES	7	61.88	23.15	180	501	0
MNT=	R26	22M/0603-RES	7	59.34	23.15	0	501	0
MNT=	R27	22M/0603-RES	7	59.34	26.96	0	501	0
MNT=	R28	22M/0603-RES	7	23.78	25.69	90	501	0
MNT=	R29	22M/0603-RES	7	12.35	25.69	90	501	0
MNT=	C3	22pF/0603-CAP	8	23.78	14.26	90	511	0
MNT=	C4	22pF/0603-CAP	8	23.78	19.34	90	511	0
MNT=	R17	330/0603-RES	9	-0.35	35.85	90	501	0
MNT=	R18	330/0603-RES	9	80.93	35.85	90	501	0
MNT=	R20	330/0603-RES	9	55.53	7.91	0	501	0
MNT=	R21	330/0603-RES	9	55.53	9.18	0	501	0
MNT=	R22	330/0603-RES	9	40.29	28.23	90	501	0
MNT=	F1	500mA/PTC-1206	10	54.26	33.31	270	513	1
MNT=	LED8	GREEN/LED-0603	11	84.74	33.31	180	11	0
MNT=	LED9	GREEN/LED-0603	11	-4.16	33.31	180	11	0
MNT=	LED1	GREEN/LED-1206-BOTTOM	12	60.61	7.27	0	12	1
MNT=	LED2	GREEN/LED-1206-BOTTOM	12	78.23	25.05	270	12	1
MNT=	LED3	GREEN/LED-1206-BOTTOM	12	8.54	35.21	0	12	1
MNT=	LED4	GREEN/LED-1206-BOTTOM	12	27.59	35.21	0	12	1
MNT=	LED5	GREEN/LED-1206-BOTTOM	12	60.61	42.83	0	12	1
MNT=	LED6	GREEN/LED-1206-BOTTOM	12	42.83	25.05	90	12	1
MNT=	LED7	RED/LED-0603	13	51.72	32.04	270	11	0
MNT=	LED10	RED/LED-0603	13	33.94	40.93	90	11	0
MNT=	LED11	RED/LED-0603	13	31.4	40.93	270	11	0
MNT=	JP1	FIDUCIALUFIDUCIAL/MICRO-FIDUCIAL	0	-0.35	43.47	0	0	1
MNT=	JP2	FIDUCIALUFIDUCIAL/MICRO-FIDUCIAL	0	80.93	7.91	0	0	1
#MARK#	name	com	dbNo					
MRK=	1	mark1	KAKU-1.0	1
#END#
