#ORIGIN#											
ORG=	0	0									
#BOARD#											
SIZ=	17000	9750						
#MOUNT#
MNT=	C1	0.1uF/0603-CAP	1	15.24	41.4	0	511	0
MNT=	C10	0.1uF/0603-CAP	1	-7.62	29.97	0	511	0
MNT=	C12	0.1uF/0603-CAP	1	-1.22	29.06	180	511	0
MNT=	C14	0.1uF/0603-CAP	1	6.79	40.73	0	511	0
MNT=	C2	0.1uF/0603-CAP	1	21.59	20.63	270	511	0
MNT=	C4	0.1uF/0603-CAP	1	-3.81	23.62	0	511	0
MNT=	C8	0.1uF/0603-CAP	1	13.97	26.8	0	511	0
MNT=	C7	1uF/0603-CAP	2	7.67	18.59	180	511	0
MNT=	C13	47pF/0603-CAP	3	-2.54	39.5	0	511	0
MNT=	C9	47pF/0603-CAP	3	-2.54	33.78	0	511	0
MNT=	R11	10k/0603-RES	4	8.89	31.24	0	501	0
MNT=	R12	10k/0603-RES	4	8.89	26.16	0	501	0
MNT=	R3	10k/0603-RES	4	13.97	24.89	180	501	0
MNT=	R4	10k/0603-RES	4	-10.16	24.26	270	501	0
MNT=	R1	1k/0603-RES	5	-11.02	-4.52	270	501	0
MNT=	R13	1k/0603-RES	5	35.52	-4.76	270	501	0
MNT=	R16	1k/0603-RES	5	38.1	-4.74	270	501	0
MNT=	R17	1k/0603-RES	5	40.7	-4.71	270	501	0
MNT=	R18	1k/0603-RES	5	43.21	-4.71	270	501	0
MNT=	R19	1k/0603-RES	5	45.7	-4.71	270	501	0
MNT=	R2	1k/0603-RES	5	22.87	-4.55	90	501	0
MNT=	R20	1k/0603-RES	5	48.26	-4.73	270	501	0
MNT=	R23	1k/0603-RES	5	48.24	52.75	90	501	0
MNT=	R24	1k/0603-RES	5	45.69	52.75	90	501	0
MNT=	R25	1k/0603-RES	5	43.19	52.75	90	501	0
MNT=	R26	1k/0603-RES	5	40.63	52.75	90	501	0
MNT=	R27	1k/0603-RES	5	38.08	52.75	90	501	0
MNT=	R28	1k/0603-RES	5	35.53	52.75	90	501	0
MNT=	R29	1k/0603-RES	5	33.03	52.75	90	501	0
MNT=	R30	1k/0603-RES	5	30.52	52.75	90	501	0
MNT=	R31	1k/0603-RES	5	26.4	52.75	90	501	0
