#ORIGIN#											
ORG=	0	0									
#BOARD#											
SIZ=	17000	9750						
#MOUNT#
MNT=	C10	100nF/C0603	1	33.39	8.13	90	511	0
MNT=	C12	100nF/C0603	1	40.14	9.65	0	511	0
MNT=	C13	100nF/C0603	1	36.57	2.04	270	511	0
MNT=	C6	100nF/C0603	1	31.49	8.13	270	511	0
MNT=	R11	10k/C0603	2	18.02	2.8	270	501	0
MNT=	R30	10k/C0603	2	24.88	2.42	90	501	0
MNT=	C11	10uF/C0603	3	44.44	7.12	270	511	0
MNT=	C8	10uF/C0603	3	39.36	7.12	270	511	0
MNT=	C9	10uF/C0603	3	36.82	7.12	270	511	0
MNT=	R14	1k/C0603	4	30.47	10.93	0	501	0
MNT=	R15	1k/C0603	4	30.47	-1.78	0	501	0
MNT=	R2	1k/C0603	4	20.56	2.8	90	501	0
MNT=	R3	1k/C0603	4	22.85	-1.78	180	501	0
MNT=	R6	1k/C0603	4	22.85	10.93	180	501	0
MNT=	R7	1k/C0603	4	21.83	2.8	90	501	0
MNT=	R16	1M/C0603	5	19.68	-1.78	180	501	0
MNT=	R17	1M/C0603	5	19.68	10.93	0	501	0
MNT=	R18	1M/C0603	5	33.65	10.93	180	501	0
MNT=	R19	1M/C0603	5	33.65	-1.78	0	501	0
MNT=	C1	1uF/C0603	6	16.5	-1.78	180	511	0
MNT=	C15	1uF/C0603	6	16.5	10.93	180	511	0
MNT=	C17	1uF/C0603	6	36.82	10.93	180	511	0
MNT=	C2	1uF/C0603	6	36.82	-1.78	180	511	0
MNT=	C7	1uF/C0603	6	6.98	3.94	270	511	0
MNT=	C5	2.2nF/C0603	7	29.58	8.13	90	511	0
MNT=	R22	240/C0603	8	24.88	5.72	270	501	0
MNT=	R23	240/C0603	8	26.41	5.72	270	501	0
MNT=	D20	LED/C0603	9	19.68	6.1	270	11	0
MNT=	D4	LED/C0603	9	21.58	6.1	270	11	0
MNT=	D8	LED/C0603	9	17.77	6.1	270	11	0
MNT=	D1	SS14/C0603	10	43.8	2.04	90	514	0
MNT=	L1	470uH/C0603	11	47.62	2.67	270	514	1
#MARK#	name	com	dbNo					
MRK=	1	mark1	KAKU-1.5	1
#END#
